4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
4,10,0:0,1:0,1.30902:0.951057,1:1.90211,0.190983:2.4899,-0.809017:2.4899,-1.61803:1.90211,-1.92705:0.951057,-1.61803:1.20455e-16,-0.809017:-0.587785,-20.1,0,0
